# With IMU KalmanFilter

pi@raspberrypi:~/kts/scripts $ python3 main.py 

Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg
..hon3.5/threading.py:851 Thread.run  2      0.000789  15.07666  7.538331
..cripts/SubIMU.py:88 SubIMU.ReadIMU  1      0.609390  14.95426  14.95426
..lmanFilter.py:15 KalmanFilter.Step  562    2.499859  12.55095  0.022333
..ib/defmatrix.py:306 matrix.__mul__  6182   1.231696  6.531799  0.001057
..x.py:258 matrix.__array_finalize__  17985  2.109646  2.690235  0.000150
..matrixlib/defmatrix.py:212 __new__  7309   1.035315  2.039425  0.000279
..matrixlib/defmatrix.py:32 asmatrix  6180   0.874483  1.655683  0.000268
..ges/numpy/linalg/linalg.py:464 inv  562    0.458173  1.461297  0.002600
../core/fromnumeric.py:529 transpose  1686   0.187806  0.913504  0.000542
..y/core/fromnumeric.py:50 _wrapfunc  1686   0.204525  0.725698  0.000430
..b/defmatrix.py:314 matrix.__rmul__  562    0.050336  0.371817  0.000662
..y/linalg/linalg.py:138 _commonType  562    0.128369  0.260519  0.000464
..s/numpy/lib/twodim_base.py:140 eye  562    0.178779  0.240608  0.000428
..py/linalg/linalg.py:105 _makearray  562    0.080495  0.223181  0.000397
../linalg.py:208 _assertNdSquareness  562    0.103751  0.160464  0.000286
..efmatrix.py:280 matrix.__getitem__  562    0.098613  0.122325  0.000218
..oard.py:28 MessageBoard.ReadSerial  1      0.006771  0.121610  0.121610
../numpy/core/numeric.py:424 asarray  562    0.060093  0.120936  0.000215
..linalg/linalg.py:110 isComplexType  1124   0.072349  0.105469  0.000094
..ial/serialposix.py:460 Serial.read  51     0.031373  0.085298  0.001673
..mpy/linalg/linalg.py:123 _realType  562    0.041681  0.058800  0.000105
..alg.py:100 get_linalg_error_extobj  562    0.044867  0.044867  0.000080
../linalg.py:197 _assertRankAtLeast2  562    0.034959  0.034959  0.000062
../Submarine.py:7 Submarine.__init__  1      0.000689  0.029615  0.029615
..ripts/SubIMU.py:17 SubIMU.__init__  1      0.010353  0.023770  0.023770
..py:13 KalmanFilter.GetCurrentState  562    0.022285  0.022285  0.000040
..erialutil.py:137 Timeout.time_left  80     0.012723  0.019829  0.000248
../serialutil.py:133 Timeout.expired  29     0.002870  0.010354  0.000357
..serialutil.py:123 Timeout.__init__  51     0.008169  0.010317  0.000202
../serialutil.py:176 Serial.__init__  1      0.002390  0.009891  0.009891
..eBoard.py:10 MessageBoard.__init__  1      0.001256  0.008668  0.008668
..ial/serialposix.py:254 Serial.open  1      0.001946  0.006742  0.006742
..n3.5/threading.py:826 Thread.start  2      0.000843  0.005932  0.002966
..5/threading.py:755 Thread.__init__  3      0.001679  0.004482  0.001494
..hon3.5/threading.py:531 Event.wait  2      0.000873  0.004092  0.002046
...5/threading.py:261 Condition.wait  2      0.001194  0.002666  0.001333
..ix.py:301 Serial._reconfigure_port  1      0.001528  0.002404  0.002404
..oard.py:61 MessageBoard.CloseBoard  1      0.000417  0.001936  0.001936
...5/threading.py:496 Event.__init__  3      0.000685  0.001588  0.000529
..oard.py:48 MessageBoard.LogMessage  2      0.000626  0.000901  0.000451
..hreading.py:213 Condition.__init__  3      0.000807  0.000807  0.000269
..tlocale.py:23 getpreferredencoding  3      0.000341  0.000642  0.000214
..ix.py:609 Serial._update_dtr_state  1      0.000287  0.000505  0.000505
..Submarine.py:58 Submarine.ShutDown  1      0.000128  0.000488  0.000488
..n3.5/_weakrefset.py:81 WeakSet.add  3      0.000393  0.000484  0.000161
..5/threading.py:1224 current_thread  3      0.000275  0.000364  0.000121
..reading.py:237 Condition.__enter__  2      0.000199  0.000284  0.000142
